SP ID,EgoNetworksCombined,Full Name,Occupation,Political rank,Military rank,Aristo title,Clerical title,Knowledge Network,Social Network,Professional Network,Religious Network,Academies,Royal Academy,Institut de France,Academy_single,Academiy_single_provincial,Salons,Freemason,Jacobin,SociÈtÈ des Trente,Lodge,GenderGroup,Nationality,Birth Year,Death Year,Birth City,Birth Country,Death City,Death Country,LockeNet,ASmithNet,VoltaireNet,RousseauNet,D'AlembertNet,HumeNet,BenthamNet,Column6,Wikipedia Image Link,VIAF ID,VIAF URL,RecipientLetterCount by EE ID,AuthorLetterCount by EE ID,Total Letters
1029,"Voltaire, Deffand, Dupin, Tencin, Chatelet","Gabrielle …milie Le Tonnelier de Breteuil, marquise Du Ch‚telet-Lomont","scientist,aristocrat",,,marquise,,"Sciences_Mathematical, Sciences","Elite, Nobility",,,Academy of Stanislas,,,Yes,,"Dupin, Tencin, Chatelet, Deffand_Beaune",,,,,Female,French,1706,1749,Paris,France,LunÈville,France, , ,Voltaire, , , , ,,http://upload.wikimedia.org/wikipedia/commons/b/ba/Emilie_Chatelet_portrait_by_Latour.jpg,76345646,http://viaf.org/viaf/76345646/,46,474,520
1030,"Voltaire, Rousseau, Encyclopedistes","Louis-…lisabeth de La Vergne, comte de Tressan","general,army officer,soldier,scholar,academy member",,high-ranking_general,"comte, marquis",,"Letters_Literary, Sciences","Military, Court, Nobility, Elite","Artist, Cultural",,"French Academy, AcadÈmie des sciences, Academy of Stanislas, AcadÈmie lorraine des sciences, Royal Society",Yes,,,,"Dupin, Tencin",,,,,Male,French,1705,1783,Le Mans,France,Saint-Leu,France, , ,Voltaire,Rousseau, , , ,,,7425031,http://viaf.org/7425031,34,12,46
1031,"Voltaire, Encyclopedistes, Dupin, Tencin, Geoffrin","François Joachim de Pierres, cardinal de Bernis","diplomat,government minister",minister,,,cardinal,Letters_Literary,"Elite, Government, Nobility",,Catholic_High-ranking officials,"French Academy, Academy of Inscriptions",Yes,,,,"Dupin, Tencin, Geoffrin",,,,,Male,French,1715,1794,Saint-Marcel-d'Ardèche,France,Rome,Italy, , ,Voltaire, , , , ,,http://upload.wikimedia.org/wikipedia/commons/e/ea/Fran%C3%A7ois-Joachim_de_Pierre_de_Bernis.jpg,68925438,http://viaf.org/68925438,65,57,122
1032,"Rousseau, Dupin, Tencin, Necker, Lespinasse",Gabriel Bonnot de Mably,"author,political writer",,,,abbÈ,"Letters_Literary, Political Economy, Letters_Philosophical",Nobility,,Catholic_Clergy,,,,,,"Dupin, Tencin, Necker, Lespinasse",,,,,Male,French,1709,1785,Grenoble,France,,unknown, , , ,Rousseau, , , ,,upload.wikimedia.org/wikipedia/commons/thumb/8/80/Gabriel_Bonnot_de_Mably.jpg/225px-Gabriel_Bonnot_de_Mably.jpg,84557373,http://viaf.org/84557373,1,2,3
1033,Encyclopedistes,Guillaume d'Abbes,"writer,judge,academy member",,,,,"Letters_Philosophical, Letters_Literary","Government, Nobility","Legal, Finance-banking",,Academy of BÈziers,,,Yes,Yes,,,,,,Male,French,,,BÈdarieux,France,PÈzenas,France,,,,,,,,,,,,,,
1034,Encyclopedistes,Allard,writer,,,,,Sciences_Natural,,,,,,,,,,,,,,Male,French,,,,,,,,,,,,,,,,,,,,
1035,Encyclopedistes,Antoine Allut,"business man,jurist,politician",dÈputÈ,,,,,Government,"Artisan, Legal, Finance-banking",Protestant?,SociÈtÈ royale des Sciences de Montpellier,,,Yes,Yes,,,,,,Male,French,1743,1794,Montpellier,France,Paris,France,,,,,,,,,,,,,,
1036,Encyclopedistes,Antoine-Joseph Desallier d'Argenville,"man of letters, judge",,,,,"Letters_Literary, Letters_Philosophical",Government,"Gardening-farming, Legal",,"Royal Society, SociÈtÈ royale des Sciences de Montpellier",,,,,,,,,,Male,French,1680,1765,Paris,France,Paris,France,,,,,,,,,,,,,,
1037,Encyclopedistes,Louis-Roch-Antoine-Charles Arnauld?,writer on sport and hunting,,,,,Letters,,,,,,,,,,,,,,Male,French,1703,1779,Senlis,France,Senlis,France,,,,,,,,,,,,,,
1038,Encyclopedistes,Arnolphe d'Aumont,"doctor,professor",officier municipal,,,,Sciences_Medicine,"Elite, Government","Medical, Education",,"Valence, Montpellier, Lyon",,,,,,,,,,Male,French,1721,1800,Grenoble,France,Valence?,France,,,,,,,,,,,,,,
1039,Encyclopedistes,Charles-Louis d'Authville Des Amourettes,officer,,"lieutenant-colonel, chef de bataillon, capitaine",,,Letters,"Military, Nobility",,,,,,,,,,,,,Male,French,1716,,Paris,France,,,,,,,,,,,,,,,,
1040,Encyclopedistes,Guillaume Barthez de Marmorières,engineer,,,,,Sciences,,Other,,SociÈtÈ royale des Sciences de Montpellier,,,Yes,,,,,,,Male,French,1707,1799,Narbonne,France,Narbonne,France,,,,,,,,,,,,,,
1041,Encyclopedistes,Jacques-Nicolas Bellin,"geographer,functionary",,,,,Sciences_Natural,Government,Martime,,AcadÈmie royale de la Marine;Royal Society,,,,,,,,,,Male,French,1703,1772,Paris,France,Versailles,France,,,,,,,,,,,,,,
1042,"Encyclopedistes, Geoffrin",Jacques-François Blondel,"architect,man of letters,engraver,professor",,,,,Letters_Literary,,"Education, Architecture, Artist",,AcadÈmie royale d'architecture,Yes,,Yes,,Geoffrin_dinner,,,,,Male,French,1705,1774,Rouen,France,Paris,France,,,,,,,,,,,,,,
1043,Encyclopedistes,ThÈophile de Bordeu,"scholar,physician",,,,,Sciences_Medicine,,Medical,,AcadÈmie des sciences,Yes,,Yes,,,,,,,Male,French,1722,1776,Izeste,France,Paris,France,,,,,,,,,,,,,,
1044,Encyclopedistes,Mathieu-Antoine Bouchaud,"homme de lettres,lawyer,professor",,,,,"Letters_Literary, Political Economy",Elite,"Education, Legal",,"Academy of Inscriptions, Academy of Dijon, AcadÈmie des sciences, lettres et arts d'Arras, SociÈtÈ des observateurs de l'homme",,Yes,,,,,,,,Male,French,1719,1804,Paris,France,Paris,France,,,,,,,,,,,,,,
1045,Encyclopedistes,Antoine-Gaspard Boucher d'Argis,"jurist,laywer",,,,,Political Economy,Government,Legal,,Academy of Rouen,,,Yes,Yes,,,,,,Male,French,1708,1791,Lyon,France,Paris,France,,,,,,,,,,,,,,
1046,Encyclopedistes,…tienne-Jean Bouchu,maîtres de forges,,,,,Sciences,,Artisan,,"AcadÈmie des sciences, Academy of Dijon",,,,,,,,,,Male,French,1714,1773,Langres,France,Arc-en-Barrois,France,,,,,,,,,,,,,,
1047,Encyclopedistes,Jean Bouillet,"physician, professor",,,,,Sciences_Medicine,,"Medical, Education",,"AcadÈmie des sciences, SociÈtÈ de mÈdecine de Montpellier",,,,,,,,,,Male,French,1690,1777,Servian,France,BÈziers,France,,,,,,,,,,,,,,
